SAMPLE_ID,XYZ_X,XYZ_Y,XYZ_Z,LAB_L,LAB_A,LAB_B,LAB_C,LAB_H,D_RED,D_GREEN,D_BLUE,D_VIS,STDEV_X,STDEV_Y,STDEV_Z,MEAN_DE,STDEV_DE,R,G,B,dR,dG,dB
I13,24.86,35.75,54.38,66.33,-36.64,-32.1,48.71,221.22,0.96,0.3,0.19,0.52,0.07,0.09,0.12,0.09,0.11,25.863,71.1174,92.651,0.659662,1.8799,2.89536
I14,35.74,21.49,39.24,53.48,59.68,-36.31,69.86,328.69,0.35,0.95,0.35,0.6,0.13,0.13,0.1,0.28,0.33,84.6225,35.3251,81.9315,0.599269,0.445729,0.872336
I15,60.52,60.84,9.14,82.29,4.42,73.44,73.58,86.56,0.13,0.28,0.91,0.19,0.12,0.16,0.16,0.37,0.45,100,78.9394,23.1304,1.12E-14,0.442299,0.672604
I16,6.16,6.36,5.32,30.31,0.25,-0.33,0.42,306.97,1.16,1.2,1.17,1.2,0.04,0.04,0.04,0.36,0.42,30.4938,25.1815,27.466,0.609037,0.653436,0.632135
I17,27.84,17.76,5.69,49.2,49.44,30.4,58.04,31.59,0.37,1.1,1.14,0.66,0.11,0.12,0.09,0.33,0.42,83.4917,27.8782,27.4346,0.513949,0.575043,0.7331
I18,15.52,25.91,8.17,57.95,-46.76,34.98,58.4,143.2,0.97,0.46,0.96,0.63,0.06,0.07,0.07,0.2,0.24,28.7414,58.4885,26.1864,0.640197,0.429174,0.65225
I19,11.56,8.89,33.52,35.78,23.38,-58.84,63.31,291.67,1.14,1.05,0.42,1.1,0.04,0.05,0.05,0.25,0.29,26.4323,31.3414,73.3644,0.596568,0.530466,0.565671
I20,43.92,48.37,17.91,75.06,-7.77,36.81,37.62,101.92,0.31,0.32,0.64,0.31,0.15,0.13,0.15,0.31,0.35,75.5572,71.3889,40.4462,0.624898,0.581087,0.791183
I21,11.78,15.8,4.15,46.71,-22.18,34.31,40.86,122.88,0.94,0.73,1.24,0.82,0.05,0.09,0.08,0.38,0.44,34.045,42.7157,21.6256,0.66311,0.486861,0.603895
I22,30.04,38.69,19.19,68.53,-25.37,22.75,34.07,138.12,0.55,0.35,0.61,0.43,0.17,0.15,0.24,0.33,0.45,51.2771,67.5279,43.0752,0.766564,0.566422,0.706234
J1,2.48,2.17,3.5,16.37,8.03,-13.95,16.1,299.91,1.57,1.71,1.36,1.66,0.02,0.03,0.06,0.33,0.4,19.5304,16.5082,25.98,0.611495,0.583636,0.567289
J2,2.82,2.16,5.65,16.3,14.81,-26.13,30.04,299.55,1.57,1.74,1.17,1.67,0.03,0.02,0.08,0.25,0.3,18.7502,15.7274,30.8422,0.562781,0.449761,0.616387
