,R,G,B,LAB_L,LAB_A,LAB_B,LAB_L_m,LAB_A_m,LAB_B_m,LAB_L_c,LAB_A_c,LAB_B_c,LAB_dE
147,112.645888,98.403328,105.46176,46.08,0.06,-0.74,43.2528,5.8,-11.98,45.7843576925,0.860741451522,1.14893433093,2.07283963507
148,232.080896,105.30432,105.028864,59.52,38.11,20.82,60.212,47.3,14.0,60.4721113967,41.3777721614,25.7306700808,5.97490850584
149,111.326976,177.138176,101.850368,67.41,-37.39,26.64,66.418,-37.55,21.36,67.9588580662,-39.427505129,26.4456577116,2.11906612747
150,105.3696,112.695552,210.956032,50.39,13.75,-46.29,51.2336,22.5,-67.96,50.6529787794,13.8455944684,-50.3046038153,4.02434341663
151,200.663808,145.582592,108.410368,66.98,8.27,26.72,64.8752,14.55,17.08,65.7744305129,10.4038348965,26.8305642546,2.45333927706
152,204.125184,141.745152,83.697664,65.91,9.46,39.27,63.9704,15.9,30.58,65.3242253552,12.2478116665,40.6986496561,3.18685827462
153,243.299072,161.432064,33.253376,72.63,14.14,85.67,72.798,19.4,63.28,73.9744932637,16.2634047705,83.8312827892,3.11406341247
154,46.289408,49.490688,65.407744,21.81,-5.61,-7.15,20.8764,2.15,-17.58,20.9053369169,-3.55432738745,-4.31329174937,3.61816512656
155,35.887616,49.364224,71.170048,21.57,-11.61,-14.4,20.2732,0.6,-22.86,20.2628779051,-6.02089020524,-8.83613733727,7.993952977
156,26.095616,50.692096,79.318272,21.34,-17.21,-20.89,20.5632,0.05,-28.48,20.7339586488,-12.5014741468,-13.7617073061,8.56446487293
157,27.778304,54.17344,83.30624,22.0,-17.69,-21.61,22.048,-0.45,-29.06,22.8475133221,-6.60362164476,-14.097989513,13.4185083159
158,74.456832,87.414528,109.380352,41.78,-7.79,-10.48,36.8728,-0.4,-24.42,39.8914675392,-5.60000917801,-9.10858355842,3.20053084852
159,58.120704,92.720896,124.45056,41.92,-15.05,-18.98,38.114,-3.85,-32.82,41.4703848762,-10.7200390443,-15.7672904748,5.41038059018
160,39.527168,97.636864,141.9776,41.72,-22.69,-28.07,39.6916,-4.55,-42.12,43.0347573018,-12.5908521839,-23.5912514989,11.1256712836
161,24.4780032,102.399488,159.756544,41.03,-30.87,-37.03,41.71,-2.6,-50.66,44.6833719769,-11.4245091149,-31.3529241053,20.5840577457
162,166.708736,175.169024,193.763584,72.06,-4.37,-7.11,71.4176,-0.95,-26.08,70.5289234128,-5.86914968255,-8.31025523325,2.45606553487
163,155.513344,181.79072,207.183104,72.15,-8.28,-11.95,72.8328,-5.1,-32.14,71.6187904439,-10.7446146085,-12.7233116687,2.63714233552
164,140.748032,186.060544,219.929088,71.93,-12.8,-16.66,73.5172,-8.55,-38.82,72.1169400152,-15.1219856306,-17.6633278587,2.53638140465
165,100.014592,195.100928,244.3904,71.29,-26.69,-27.23,75.0368,-15.85,-51.22,73.2729156232,-25.0794452257,-27.1545405388,2.55568683136
166,82.348032,193.619456,241.277952,69.71,-33.81,-28.86,73.9348,-19.0,-51.1,72.5937031932,-28.9504482061,-27.0895484098,5.92161182259
167,223.93088,106.258432,218.586624,58.15,53.36,-33.3,62.7524,58.55,-53.74,59.1838099295,62.8449999224,-35.1022968155,9.70990526778
168,255.998976,209.812992,77.849344,83.93,2.21,64.04,86.0104,0.9,58.16,83.5910802589,5.26174413043,70.0871140047,6.78200535347
169,93.213952,79.3344,86.406656,37.91,0.27,-1.48,35.3184,6.05,-10.78,37.6939915349,1.11450272888,1.84590049808,3.43823481444
170,222.67904,86.724352,87.15136,54.05,44.4,24.62,55.1776,51.4,18.6,55.4904969381,46.9773203376,30.1664184341,6.28334059218
171,91.26912,163.387136,84.3712,62.68,-42.5,30.44,60.9776,-40.2,24.44,63.9651406822,-43.5089259579,30.1862206304,1.65345762877
172,85.26592,94.673408,199.758848,42.73,18.49,-53.01,44.5636,25.95,-71.64,43.6886691122,18.0354980597,-56.9099183493,4.04165580077
173,206.937856,165.880576,106.459648,72.19,2.31,33.99,70.5476,5.85,25.42,70.8682893979,4.80203199096,33.8552723345,2.82405628545
174,171.090688,147.486464,129.632768,65.25,0.43,10.62,62.7524,4.3,0.78,63.8480967933,1.05304462856,12.1051394105,2.13521808695
175,182.190848,164.565248,87.355648,69.76,-6.01,40.56,67.5896,-5.5,32.1,68.6318795384,-2.67001239458,39.8172968747,3.60274630144
176,58.942464,56.557056,82.434048,26.71,0.84,-12.81,25.0408,6.8,-23.62,25.6776597857,0.627666518129,-10.0335502239,2.96976180606
177,51.870464,56.933376,97.916672,26.71,2.36,-24.89,25.3424,9.15,-34.32,25.5983910391,2.12684241876,-19.9648787292,5.05438982189
178,42.099712,58.88768,115.5648,26.8,2.51,-35.76,26.34,11.65,-45.2,26.3240604606,3.9258637593,-30.4666656788,5.50005244216
179,25.0242048,61.635072,142.377216,26.08,3.16,-52.0,28.3236,17.7,-60.46,27.5553156501,9.57589224374,-46.8994996621,8.3279849452
180,100.445696,96.151808,123.558656,46.87,0.41,-10.0,42.116,6.65,-25.86,44.3745395497,0.393391833557,-10.5417557377,2.5536440569
181,94.781184,98.321664,143.72864,46.8,1.2,-20.09,43.102,8.75,-37.74,44.9367064204,1.42741067546,-20.7640914137,1.99448685458
182,88.81536,100.46208,162.8224,46.82,1.83,-28.92,44.1692,11.35,-48.58,45.508561531,3.19821518712,-30.6857219754,2.59030070661
183,65.635584,107.913728,209.703424,46.44,2.2,-50.37,47.6144,17.65,-73.06,47.616678568,8.3254985415,-56.5089481591,8.75174207426
184,179.842304,172.687104,196.327936,72.08,0.6,-6.94,71.8584,5.3,-26.86,70.6863189873,-0.713294033175,-8.75717599144,2.63992737903
185,177.028608,175.776768,211.094528,72.28,0.67,-12.28,72.914,5.7,-34.2,71.3325229758,-1.06227705087,-14.1795359105,2.73984181435
186,172.526336,176.73088,223.406848,72.06,0.95,-16.78,73.2388,6.55,-41.12,71.3909543166,-0.941358623627,-19.5217871306,3.39738962131
187,162.4256,176.911104,246.187776,71.46,1.51,-26.06,73.4128,9.1,-54.48,71.0931130606,0.273787158009,-30.7518941761,4.86587085494
188,66.20928,182.060544,237.18656,66.33,-36.64,-32.1,70.014,-16.4,-54.72,69.5943834138,-26.6422377657,-30.5477023601,10.6311371324
189,216.6336,90.432256,209.74464,53.48,59.68,-36.31,58.7156,62.3,-54.6,54.8950139966,70.5791679799,-37.6426457039,11.0711368809
190,256.0,202.084864,59.213824,82.29,4.42,73.44,83.992,4.1,63.88,82.4081471743,7.86535892917,79.757155308,7.19659003214
